dialogue_id,run_id,cell,profile_name,scenario_id,scenario_type,trigger_turn,n_turns,expected_shift,expected_family,confidence,agency_signal,n_misconceptions,zpd_estimate_len,n_hypotheses,n_hyp_validated,n_hyp_tentative,n_hyp_contradicted,mean_hyp_confidence,n_evidence,n_evidence_validated,evidence_recency,n_constraint_violations,action,action_family,strict_shift,shift_window,family_matched,graded_trigger_recognition,graded_strategy_execution,graded_strategy_quality,graded_pedagogical_coherence,graded_mean,grader_judge_model
adaptive-repair_after_misrecognition_v1__r1-1778018950130-l41evt,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,repair_after_misrecognition_v1__r1,repair_after_misrecognition,2,5,repair_misrecognition,repair_affective,0.74,questioning,2,512,0,0,0,0,,0,0,,0,repair_misrecognition,repair_affective,1,1,1,4,3,3,3,3.25,codex-cli.default
adaptive-repair_after_misrecognition_v1__r2-1778019057935-nh5s3k,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,repair_after_misrecognition_v1__r2,repair_after_misrecognition,2,5,repair_misrecognition,repair_affective,0.81,questioning,0,542,0,0,0,0,,0,0,,0,repair_misrecognition,repair_affective,1,1,1,5,4,4,3,4,codex-cli.default
adaptive-sophistication_upgrade_v1-1778019163338-6vvdx6,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,sophistication_upgrade_v1,sophistication_upgrade,2,5,mirror_and_extend,substantive_engagement,0.88,collaborative,0,599,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,1,1,1,4,4,4,4,4,codex-cli.default
adaptive-sophistication_upgrade_v1__r1-1778019292208-gg004c,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,sophistication_upgrade_v1__r1,sophistication_upgrade,2,5,mirror_and_extend,substantive_engagement,0.93,collaborative,0,805,0,0,0,0,,0,0,,0,scope_test,substantive_engagement,0,0,1,4,4,4,4,4,codex-cli.default
adaptive-sophistication_upgrade_v1__r2-1778019420920-7qtnur,eval-2026-05-05-486d7d1e,cell_110,cell_110_langgraph_adaptive,sophistication_upgrade_v1__r2,sophistication_upgrade,2,5,mirror_and_extend,substantive_engagement,0.93,collaborative,0,820,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,1,1,1,4,4,4,4,4,codex-cli.default
adaptive-false_confusion_v1-1778420001063-7zdovg,eval-2026-05-10-8aedb51d,cell_118,cell_118_state_policy_minimal_profile,false_confusion_v1,false_confusion,1,4,scope_test,substantive_engagement,0.74,unknown,0,0,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,0,0,1,5,2,4,4,3.75,codex-cli.default
adaptive-false_confusion_v1-1778420018598-a7xpzs,eval-2026-05-10-556b5243,cell_118,cell_118_state_policy_minimal_profile,false_confusion_v1,false_confusion,1,4,scope_test,substantive_engagement,0.83,unknown,0,0,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,0,0,1,3,4,4,5,4,codex-cli.default
adaptive-false_confusion_v1-1778420021725-7raihn,eval-2026-05-10-8fb6e098,cell_118,cell_118_state_policy_minimal_profile,false_confusion_v1,false_confusion,1,4,scope_test,substantive_engagement,0.85,unknown,0,0,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,0,0,1,2,2,4,4,3,codex-cli.default
adaptive-false_confusion_v1-1778420059936-1amb42,eval-2026-05-10-24268254,cell_118,cell_118_state_policy_minimal_profile,false_confusion_v1,false_confusion,1,4,scope_test,substantive_engagement,0.79,unknown,0,0,0,0,0,0,,0,0,,0,scope_test,substantive_engagement,1,1,1,4,5,5,4,4.5,codex-cli.default
adaptive-polite_false_mastery_v1-1778420310398-nfvlkq,eval-2026-05-10-8aedb51d,cell_118,cell_118_state_policy_minimal_profile,polite_false_mastery_v1,polite_false_mastery,1,4,ask_diagnostic_question,diagnostic,0.33,unknown,0,0,0,0,0,0,,0,0,,0,ask_diagnostic_question,diagnostic,1,1,1,4,5,4,4,4.25,codex-cli.default
adaptive-polite_false_mastery_v1-1778420321400-776rk0,eval-2026-05-10-24268254,cell_118,cell_118_state_policy_minimal_profile,polite_false_mastery_v1,polite_false_mastery,1,4,ask_diagnostic_question,diagnostic,0.54,unknown,0,0,0,0,0,0,,0,0,,0,ask_diagnostic_question,diagnostic,1,1,1,4,5,4,4,4.25,codex-cli.default
adaptive-polite_false_mastery_v1-1778420329160-bgq7u5,eval-2026-05-10-556b5243,cell_118,cell_118_state_policy_minimal_profile,polite_false_mastery_v1,polite_false_mastery,1,4,ask_diagnostic_question,diagnostic,0.71,unknown,0,0,0,0,0,0,,0,0,,0,ask_diagnostic_question,diagnostic,1,1,1,4,5,4,4,4.25,codex-cli.default
adaptive-polite_false_mastery_v1-1778420340455-9gq3bd,eval-2026-05-10-8fb6e098,cell_118,cell_118_state_policy_minimal_profile,polite_false_mastery_v1,polite_false_mastery,1,4,ask_diagnostic_question,diagnostic,0.2,unknown,0,0,0,0,0,0,,0,0,,0,ask_diagnostic_question,diagnostic,1,1,1,4,4,4,4,4,codex-cli.default
adaptive-resistance_to_insight_v1-1778420645968-cmbous,eval-2026-05-10-8aedb51d,cell_118,cell_118_state_policy_minimal_profile,resistance_to_insight_v1,resistance_to_insight,1,4,scope_test|name_the_disagreement|pose_counterexample,substantive_engagement,0.62,unknown,0,0,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,0,0,1,5,4,5,5,4.75,codex-cli.default
adaptive-resistance_to_insight_v1-1778420685710-lm0htw,eval-2026-05-10-8fb6e098,cell_118,cell_118_state_policy_minimal_profile,resistance_to_insight_v1,resistance_to_insight,1,4,scope_test|name_the_disagreement|pose_counterexample,substantive_engagement,0.75,unknown,0,0,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,0,0,1,3,2,4,4,3.25,codex-cli.default
adaptive-resistance_to_insight_v1-1778420694437-ct0fq5,eval-2026-05-10-556b5243,cell_118,cell_118_state_policy_minimal_profile,resistance_to_insight_v1,resistance_to_insight,1,4,scope_test|name_the_disagreement|pose_counterexample,substantive_engagement,0.82,unknown,0,0,0,0,0,0,,0,0,,0,scope_test,substantive_engagement,1,1,1,5,5,5,5,5,codex-cli.default
adaptive-resistance_to_insight_v1-1778420720370-lq2hhx,eval-2026-05-10-24268254,cell_118,cell_118_state_policy_minimal_profile,resistance_to_insight_v1,resistance_to_insight,1,4,scope_test|name_the_disagreement|pose_counterexample,substantive_engagement,0.87,unknown,0,0,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,0,0,1,3,2,4,4,3.25,codex-cli.default
adaptive-answer_seeking_to_productive_struggle_v1-1778421120133-nr970p,eval-2026-05-10-8aedb51d,cell_118,cell_118_state_policy_minimal_profile,answer_seeking_to_productive_struggle_v1,answer_seeking_to_productive_struggle,2,5,withhold_answer,scaffolding,0.65,unknown,0,0,0,0,0,0,,0,0,,1,withhold_answer,scaffolding,1,1,1,5,5,4,4,4.5,codex-cli.default
adaptive-answer_seeking_to_productive_struggle_v1-1778421140645-hvv8xe,eval-2026-05-10-24268254,cell_118,cell_118_state_policy_minimal_profile,answer_seeking_to_productive_struggle_v1,answer_seeking_to_productive_struggle,2,5,withhold_answer,scaffolding,0.72,unknown,0,0,0,0,0,0,,0,0,,0,withhold_answer,scaffolding,1,1,1,4,5,4,4,4.25,codex-cli.default
adaptive-answer_seeking_to_productive_struggle_v1-1778421142311-g3pdv5,eval-2026-05-10-556b5243,cell_118,cell_118_state_policy_minimal_profile,answer_seeking_to_productive_struggle_v1,answer_seeking_to_productive_struggle,2,5,withhold_answer,scaffolding,0.74,unknown,0,0,0,0,0,0,,0,0,,0,withhold_answer,scaffolding,1,1,1,4,5,5,5,4.75,codex-cli.default
adaptive-answer_seeking_to_productive_struggle_v1-1778421241658-tibwnb,eval-2026-05-10-8fb6e098,cell_118,cell_118_state_policy_minimal_profile,answer_seeking_to_productive_struggle_v1,answer_seeking_to_productive_struggle,2,5,withhold_answer,scaffolding,0.48,unknown,0,0,0,0,0,0,,0,0,,2,withhold_answer,scaffolding,1,1,1,3,4,4,4,3.75,codex-cli.default
adaptive-metaphor_boundary_case_v1-1778421597432-wboj6p,eval-2026-05-10-24268254,cell_118,cell_118_state_policy_minimal_profile,metaphor_boundary_case_v1,metaphor_boundary_case,2,5,name_the_disagreement,substantive_engagement,0.52,unknown,0,0,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,1,1,1,5,5,5,5,5,codex-cli.default
adaptive-metaphor_boundary_case_v1-1778421610648-2dq9ot,eval-2026-05-10-8aedb51d,cell_118,cell_118_state_policy_minimal_profile,metaphor_boundary_case_v1,metaphor_boundary_case,2,5,name_the_disagreement,substantive_engagement,0.72,unknown,0,0,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,1,1,1,5,5,5,5,5,codex-cli.default
adaptive-metaphor_boundary_case_v1-1778421702215-wqdx7g,eval-2026-05-10-8fb6e098,cell_118,cell_118_state_policy_minimal_profile,metaphor_boundary_case_v1,metaphor_boundary_case,2,5,name_the_disagreement,substantive_engagement,0.67,unknown,0,0,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,1,1,1,5,5,4,4,4.5,codex-cli.default
adaptive-metaphor_boundary_case_v1-1778421845151-irjy0e,eval-2026-05-10-556b5243,cell_118,cell_118_state_policy_minimal_profile,metaphor_boundary_case_v1,metaphor_boundary_case,2,5,name_the_disagreement,substantive_engagement,0.78,unknown,0,0,0,0,0,0,,0,0,,1,pose_counterexample,substantive_engagement,0,0,1,4,2,4,4,3.5,codex-cli.default
adaptive-affective_shutdown_v1-1778422032215-hw878p,eval-2026-05-10-8aedb51d,cell_118,cell_118_state_policy_minimal_profile,affective_shutdown_v1,affective_shutdown,2,5,acknowledge_and_redirect,repair_affective,0.62,unknown,0,0,0,0,0,0,,0,0,,0,acknowledge_and_redirect,repair_affective,1,1,1,5,5,5,4,4.75,codex-cli.default
adaptive-affective_shutdown_v1-1778422142732-t5oa7e,eval-2026-05-10-24268254,cell_118,cell_118_state_policy_minimal_profile,affective_shutdown_v1,affective_shutdown,2,5,acknowledge_and_redirect,repair_affective,0.16,unknown,0,0,0,0,0,0,,0,0,,1,acknowledge_and_redirect,repair_affective,1,1,1,5,5,4,5,4.75,codex-cli.default
adaptive-affective_shutdown_v1-1778422306381-pyhdv0,eval-2026-05-10-8fb6e098,cell_118,cell_118_state_policy_minimal_profile,affective_shutdown_v1,affective_shutdown,2,5,acknowledge_and_redirect,repair_affective,0.28,unknown,0,0,0,0,0,0,,0,0,,1,acknowledge_and_redirect,repair_affective,1,1,1,5,5,5,5,5,codex-cli.default
adaptive-affective_shutdown_v1-1778422384489-n8cwzs,eval-2026-05-10-556b5243,cell_118,cell_118_state_policy_minimal_profile,affective_shutdown_v1,affective_shutdown,2,5,acknowledge_and_redirect,repair_affective,0.28,unknown,0,0,0,0,0,0,,0,0,,2,acknowledge_and_redirect,repair_affective,1,1,1,5,5,5,4,4.75,codex-cli.default
adaptive-repair_after_misrecognition_v1-1778422520127-p0yt54,eval-2026-05-10-8aedb51d,cell_118,cell_118_state_policy_minimal_profile,repair_after_misrecognition_v1,repair_after_misrecognition,2,5,repair_misrecognition,repair_affective,0.76,unknown,0,0,0,0,0,0,,0,0,,0,repair_misrecognition,repair_affective,1,1,1,5,5,5,4,4.75,codex-cli.default
adaptive-repair_after_misrecognition_v1-1778422592541-4smk51,eval-2026-05-10-24268254,cell_118,cell_118_state_policy_minimal_profile,repair_after_misrecognition_v1,repair_after_misrecognition,2,5,repair_misrecognition,repair_affective,0.78,unknown,0,0,0,0,0,0,,0,0,,0,repair_misrecognition,repair_affective,1,1,1,5,5,5,5,5,codex-cli.default
adaptive-repair_after_misrecognition_v1-1778422703108-mcahte,eval-2026-05-10-8fb6e098,cell_118,cell_118_state_policy_minimal_profile,repair_after_misrecognition_v1,repair_after_misrecognition,2,5,repair_misrecognition,repair_affective,0.68,unknown,0,0,0,0,0,0,,0,0,,0,repair_misrecognition,repair_affective,1,1,1,5,5,4,4,4.5,codex-cli.default
adaptive-repair_after_misrecognition_v1-1778422806426-8lh7zv,eval-2026-05-10-556b5243,cell_118,cell_118_state_policy_minimal_profile,repair_after_misrecognition_v1,repair_after_misrecognition,2,5,repair_misrecognition,repair_affective,0.67,unknown,0,0,0,0,0,0,,0,0,,0,repair_misrecognition,repair_affective,1,1,1,5,5,5,5,5,codex-cli.default
adaptive-sophistication_upgrade_v1-1778423020355-9lxxze,eval-2026-05-10-8aedb51d,cell_118,cell_118_state_policy_minimal_profile,sophistication_upgrade_v1,sophistication_upgrade,2,5,mirror_and_extend,substantive_engagement,0.94,unknown,0,0,0,0,0,0,,0,0,,0,mirror_and_extend,substantive_engagement,1,1,1,4,5,4,4,4.25,codex-cli.default
adaptive-sophistication_upgrade_v1-1778423023627-fzr9x9,eval-2026-05-10-24268254,cell_118,cell_118_state_policy_minimal_profile,sophistication_upgrade_v1,sophistication_upgrade,2,5,mirror_and_extend,substantive_engagement,0.95,unknown,0,0,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,0,0,1,4,3,4,4,3.75,codex-cli.default
adaptive-sophistication_upgrade_v1-1778423193562-ifsxtv,eval-2026-05-10-8fb6e098,cell_118,cell_118_state_policy_minimal_profile,sophistication_upgrade_v1,sophistication_upgrade,2,5,mirror_and_extend,substantive_engagement,0.91,unknown,0,0,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,0,0,1,5,4,5,5,4.75,codex-cli.default
adaptive-sophistication_upgrade_v1-1778423319137-slavfa,eval-2026-05-10-556b5243,cell_118,cell_118_state_policy_minimal_profile,sophistication_upgrade_v1,sophistication_upgrade,2,5,mirror_and_extend,substantive_engagement,0.91,unknown,0,0,0,0,0,0,,0,0,,0,repair_misrecognition,repair_affective,0,0,0,5,4,4,4,4.25,codex-cli.default
adaptive-cross_epistemic_resistance-1778620884442-xme2fn,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_epistemic_resistance,epistemic_resistance,1,4,name_the_disagreement|scope_test|pose_counterexample,substantive_engagement,0.84,questioning,2,542,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,1,1,1,5,4,5,5,4.75,codex-cli.default
adaptive-cross_epistemic_resistance__r1-1778621553308-13afkv,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_epistemic_resistance__r1,epistemic_resistance,1,4,name_the_disagreement|scope_test|pose_counterexample,substantive_engagement,0.88,collaborative,2,761,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,1,1,1,4,3,4,4,3.75,codex-cli.default
adaptive-cross_epistemic_resistance__r2-1778622286788-cja2sc,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_epistemic_resistance__r2,epistemic_resistance,1,4,name_the_disagreement|scope_test|pose_counterexample,substantive_engagement,0.87,questioning,2,944,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,1,1,1,4,4,4,4,4,codex-cli.default
adaptive-cross_epistemic_resistance__r3-1778623043846-dntqrk,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_epistemic_resistance__r3,epistemic_resistance,1,4,name_the_disagreement|scope_test|pose_counterexample,substantive_engagement,0.87,collaborative,1,828,0,0,0,0,,0,0,,1,name_the_disagreement,substantive_engagement,1,1,1,5,4,4,4,4.25,codex-cli.default
adaptive-cross_affective_shutdown-1778624038069-k9re1k,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_affective_shutdown,affective_shutdown,2,5,acknowledge_and_redirect,repair_affective,0.65,questioning,4,845,0,0,0,0,,0,0,,1,acknowledge_and_redirect,repair_affective,1,1,1,5,5,5,4,4.75,codex-cli.default
adaptive-cross_affective_shutdown__r1-1778625013442-gxxw2q,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_affective_shutdown__r1,affective_shutdown,2,5,acknowledge_and_redirect,repair_affective,0.13,resistant,3,749,0,0,0,0,,0,0,,1,acknowledge_and_redirect,repair_affective,1,1,1,5,4,4,4,4.25,codex-cli.default
adaptive-cross_affective_shutdown__r2-1778625778990-nb9w1v,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_affective_shutdown__r2,affective_shutdown,2,5,acknowledge_and_redirect,repair_affective,0.41,questioning,3,707,0,0,0,0,,0,0,,0,acknowledge_and_redirect,repair_affective,1,1,1,5,4,4,3,4,codex-cli.default
adaptive-cross_affective_shutdown__r3-1778626496790-owtk6z,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_affective_shutdown__r3,affective_shutdown,2,5,acknowledge_and_redirect,repair_affective,0.68,questioning,3,676,0,0,0,0,,0,0,,0,acknowledge_and_redirect,repair_affective,1,1,1,5,5,5,5,5,codex-cli.default
adaptive-cross_productive_deadlock-1778627325245-chkzml,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_productive_deadlock,productive_deadlock,2,5,name_the_disagreement,substantive_engagement,0.92,collaborative,0,837,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,1,1,1,4,5,5,5,4.75,codex-cli.default
adaptive-cross_productive_deadlock__r1-1778628249849-t5vs2n,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_productive_deadlock__r1,productive_deadlock,2,5,name_the_disagreement,substantive_engagement,0.87,questioning,2,794,0,0,0,0,,0,0,,0,pose_counterexample,substantive_engagement,0,0,1,4,3,4,4,3.75,codex-cli.default
adaptive-cross_productive_deadlock__r2-1778629137258-snomba,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_productive_deadlock__r2,productive_deadlock,2,5,name_the_disagreement,substantive_engagement,0.84,collaborative,2,630,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,1,1,1,5,4,5,5,4.75,codex-cli.default
adaptive-cross_productive_deadlock__r3-1778629950815-ycss1w,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_productive_deadlock__r3,productive_deadlock,2,5,name_the_disagreement,substantive_engagement,0.91,questioning,0,791,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,1,1,1,4,4,4,4,4,codex-cli.default
adaptive-cross_misconception_surfaces-1778630636390-a88mk5,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_misconception_surfaces,misconception_surfaces,1,4,ask_diagnostic_question,diagnostic,0.77,collaborative,2,556,0,0,0,0,,0,0,,0,pose_counterexample,substantive_engagement,0,0,0,5,2,4,5,4,codex-cli.default
adaptive-cross_misconception_surfaces__r1-1778631326092-qth8o3,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_misconception_surfaces__r1,misconception_surfaces,1,4,ask_diagnostic_question,diagnostic,0.91,collaborative,1,591,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,0,0,0,4,4,4,4,4,codex-cli.default
adaptive-cross_misconception_surfaces__r2-1778632017805-hkyex2,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_misconception_surfaces__r2,misconception_surfaces,1,4,ask_diagnostic_question,diagnostic,0.74,questioning,3,425,0,0,0,0,,0,0,,0,pose_counterexample,substantive_engagement,0,0,0,5,3,4,4,4,codex-cli.default
adaptive-cross_misconception_surfaces__r3-1778632681079-s8vi7c,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_misconception_surfaces__r3,misconception_surfaces,1,4,ask_diagnostic_question,diagnostic,0.64,questioning,3,629,0,0,0,0,,0,0,,0,pose_counterexample,substantive_engagement,0,0,0,4,2,4,3,3.25,codex-cli.default
adaptive-cross_activity_avoidance-1778633428557-avcmuc,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_activity_avoidance,activity_avoidance,2,5,withhold_answer,scaffolding,0.81,collaborative,3,443,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,0,0,0,5,4,5,5,4.75,codex-cli.default
adaptive-cross_activity_avoidance__r1-1778634194629-axdskq,eval-2026-05-12-de6d48ab,cell_124,cell_124_langgraph_adaptive_crosssuite,cross_activity_avoidance__r1,activity_avoidance,2,5,withhold_answer,scaffolding,0.75,collaborative,3,709,0,0,0,0,,0,0,,0,name_the_disagreement,substantive_engagement,0,0,0,5,4,4,4,4.25,codex-cli.default
